Symbol,Year,Deaths,DeathsPer100
SUM,1997,"1,322",7
SUM,1998,"1,646",8.7
SUM,1999,"1,740",9.1
SUM,2000,"1,570",8.2
SUM,2001,"1,038",5.4
SUM,2002,939,4.8
SUM,2003,944,4.8
SUM,2004,965,4.9
SUM,2005,"1,008",5
SUM,2006,944,4.6
SUM,2007,"1,102",5.3
SUM,2008,"1,282",6.1
SUM,2009,"1,450",6.7
SUM,2010,"1,406",6.4
SUM,2011,"1,439",6.4
SUM,2012,"1,463",6.5
SUM,2013,"1,464",6.3
SUM,2014,"1,736",7.4
SUM,2015,"1,811",7.7
SUM,2016,"1,869",7.8
SUM,2017,"1,991",8.2
SUM,2018,"1,817",7.3
SUM,2019,"1,865",7.4
MSFT,Jan 1 2000,39.81,
MSFT,Feb 1 2000,36.35,
MSFT,Mar 1 2000,43.22,
MSFT,Apr 1 2000,28.37,
MSFT,May 1 2000,25.45,
MSFT,Jun 1 2000,32.54,
MSFT,Jul 1 2000,28.4,
MSFT,Aug 1 2000,28.4,
MSFT,Sep 1 2000,24.53,
MSFT,Oct 1 2000,28.02,
MSFT,Nov 1 2000,23.34,
MSFT,Dec 1 2000,17.65,
MSFT,Jan 1 2001,24.84,
MSFT,Feb 1 2001,24,
MSFT,Mar 1 2001,22.25,
MSFT,Apr 1 2001,27.56,
MSFT,May 1 2001,28.14,
MSFT,Jun 1 2001,29.7,
MSFT,Jul 1 2001,26.93,
MSFT,Aug 1 2001,23.21,
MSFT,Sep 1 2001,20.82,
MSFT,Oct 1 2001,23.65,
MSFT,Nov 1 2001,26.12,
MSFT,Dec 1 2001,26.95,
MSFT,Jan 1 2002,25.92,
MSFT,Feb 1 2002,23.73,
