Drugs,Year,NumDeath,DeathsPer100
Heroin,1997,281,1.5
Heroin,1998,351,1.8
Heroin,1999,441,2.3
Heroin,2000,417,2.2
Heroin,2001,113,0.6
Heroin,2002,97,0.5
Heroin,2003,151,0.8
Heroin,2004,138,0.7
Heroin,2005,131,0.7
Heroin,2006,73,0.4
Heroin,2007,127,0.6
Heroin,2008,179,0.9
Heroin,2009,202,1.0
Heroin,2010,221,1.0
Heroin,2011,221,1.0
Heroin,2012,174,0.8
Heroin,2013,207,0.9
Heroin,2014,237,1.0
Heroin,2015,308,1.4
Heroin,2016,399,1.7
Heroin,2017,444,1.9
Heroin,2018,456,1.9
Heroin,2019,474,1.9
Natural and semi-synthetic opioids,1997,455,2.4
Natural and semi-synthetic opioids,1998,457,2.4
Natural and semi-synthetic opioids,1999,678,3.6
Natural and semi-synthetic opioids,2000,490,2.6
Natural and semi-synthetic opioids,2001,227,1.2
Natural and semi-synthetic opioids,2002,243,1.2
Natural and semi-synthetic opioids,2003,187,1.0
Natural and semi-synthetic opioids,2004,200,1.0
Natural and semi-synthetic opioids,2005,232,1.2
Natural and semi-synthetic opioids,2006,242,1.2
Natural and semi-synthetic opioids,2007,292,1.4
Natural and semi-synthetic opioids,2008,375,1.8
Natural and semi-synthetic opioids,2009,418,1.9
Natural and semi-synthetic opioids,2010,417,1.9
Natural and semi-synthetic opioids,2011,392,1.8
Natural and semi-synthetic opioids,2012,447,2.0
Natural and semi-synthetic opioids,2013,416,1.8
Natural and semi-synthetic opioids,2014,603,2.6
Natural and semi-synthetic opioids,2015,590,2.5
Natural and semi-synthetic opioids,2016,613,2.5
Natural and semi-synthetic opioids,2017,654,2.7
Natural and semi-synthetic opioids,2018,501,2.0
Natural and semi-synthetic opioids,2019,466,1.8
Methadone,1997,120,0.6
Methadone,1998,114,0.6
Methadone,1999,131,0.7
Methadone,2000,118,0.6
Methadone,2001,107,0.6
Methadone,2002,103,0.5
Methadone,2003,70,0.4
Methadone,2004,88,0.4
Methadone,2005,106,0.5
Methadone,2006,101,0.5
Methadone,2007,129,0.6
Methadone,2008,146,0.7
Methadone,2009,154,0.7
Methadone,2010,172,0.8
Methadone,2011,184,0.8
Methadone,2012,191,0.9
Methadone,2013,177,0.8
Methadone,2014,192,0.8
Methadone,2015,212,0.9
Methadone,2016,245,1.1
Methadone,2017,252,1.1
Methadone,2018,230,1.0
Methadone,2019,192,0.8
Synthetic opioids,1997,57,0.3
Synthetic opioids,1998,45,0.2
Synthetic opioids,1999,68,0.4
Synthetic opioids,2000,43,0.2
Synthetic opioids,2001,27,0.1
Synthetic opioids,2002,19,n.p.
Synthetic opioids,2003,22,0.1
Synthetic opioids,2004,11,n.p.
Synthetic opioids,2005,23,0.1
Synthetic opioids,2006,19,n.p.
Synthetic opioids,2007,19,n.p.
Synthetic opioids,2008,31,0.1
Synthetic opioids,2009,32,0.1
Synthetic opioids,2010,57,0.3
Synthetic opioids,2011,75,0.3
Synthetic opioids,2012,123,0.6
Synthetic opioids,2013,174,0.8
Synthetic opioids,2014,204,0.9
Synthetic opioids,2015,265,1.1
Synthetic opioids,2016,269,1.1
Synthetic opioids,2017,300,1.3
Synthetic opioids,2018,256,1.0
Synthetic opioids,2019,231,0.9
All opioids,1997,877,4.6
All opioids,1998,"1,054",5.5
All opioids,1999,"1,245",6.5
All opioids,2000,"1,057",5.5
All opioids,2001,506,2.6
All opioids,2002,483,2.5
All opioids,2003,450,2.3
All opioids,2004,452,2.3
All opioids,2005,498,2.5
All opioids,2006,439,2.2
All opioids,2007,591,2.9
All opioids,2008,741,3.5
All opioids,2009,852,4.0
All opioids,2010,869,4.0
All opioids,2011,886,4.0
All opioids,2012,881,3.9
All opioids,2013,883,3.9
All opioids,2014,"1,099",4.8
All opioids,2015,"1,166",5.0
All opioids,2016,"1,260",5.3
All opioids,2017,"1,373",5.7
All opioids,2018,"1,170",4.8
All opioids,2019,"1,129",4.6
All opioids excluding heroin,1997,681,3.6
All opioids excluding heroin,1998,767,4.0
All opioids excluding heroin,1999,927,4.9
All opioids excluding heroin,2000,698,3.6
All opioids excluding heroin,2001,414,2.1
All opioids excluding heroin,2002,398,2.0
