State,Status,Year,Percentage,,,,,,,
New South Wales,Daily,2007,8.4,,,,,,,
New South Wales,Daily,2010,7.5,,,,,,,
New South Wales,Daily,2013,6.7,,,,,,,
New South Wales,Daily,2016,6.4,,,,,,,
New South Wales,Daily,2019,5.7,,,,,,,
New South Wales,Weekly,2007,39.7,,,,,,,
New South Wales,Weekly,2010,38.4,,,,,,,
New South Wales,Weekly,2013,36.0,,,,,,,
New South Wales,Weekly,2016,36.0,,,,,,,
New South Wales,Weekly,2019,33.3,,,,,,,
New South Wales,Monthly,2007,18.8,,,,,,,
New South Wales,Monthly,2010,19.0,,,,,,,
New South Wales,Monthly,2013,20.0,,,,,,,
New South Wales,Monthly,2016,19.4,,,,,,,
New South Wales,Monthly,2019,20.6,,,,,,,
New South Wales,Less often than monthly,2007,13.1,,,,,,,
New South Wales,Less often than monthly,2010,13.2,,,,,,,
New South Wales,Less often than monthly,2013,14.1,,,,,,,
New South Wales,Less often than monthly,2016,14.9,,,,,,,
New South Wales,Less often than monthly,2019,14.7,,,,,,,
New South Wales,Ex-drinker,2007,7.2,,,,,,,
New South Wales,Ex-drinker,2010,7.4,,,,,,,
New South Wales,Ex-drinker,2013,7.1,,,,,,,
New South Wales,Ex-drinker,2016,7.2,,,,,,,
New South Wales,Ex-drinker,2019,9.3,,,,,,,
New South Wales,Never a full glass,2007,12.7,,,,,,,
New South Wales,Never a full glass,2010,14.4,,,,,,,
New South Wales,Never a full glass,2013,16.2,,,,,,,
New South Wales,Never a full glass,2016,16.2,,,,,,,
New South Wales,Never a full glass,2019,16.4,,,,,,,
Victoria,Daily,2007,7.4,,,,,,,
Victoria,Daily,2010,6.7,,,,,,,
Victoria,Daily,2013,5.7,,,,,,,
Victoria,Daily,2016,5.0,,,,,,,
Victoria,Daily,2019,4.3,,,,,,,
Victoria,Weekly,2007,40.2,,,,,,,
Victoria,Weekly,2010,38.0,,,,,,,
Victoria,Weekly,2013,36.7,,,,,,,
Victoria,Weekly,2016,35.4,,,,,,,
Victoria,Weekly,2019,35.3,,,,,,,
Victoria,Monthly,2007,20.6,,,,,,,
Victoria,Monthly,2010,20.4,,,,,,,
Victoria,Monthly,2013,21.2,,,,,,,
Victoria,Monthly,2016,21.8,,,,,,,
Victoria,Monthly,2019,21.7,,,,,,,
Victoria,Less often than monthly,2007,14.5,,,,,,,
Victoria,Less often than monthly,2010,13.5,,,,,,,
Victoria,Less often than monthly,2013,13.7,,,,,,,
Victoria,Less often than monthly,2016,15.2,,,,,,,
Victoria,Less often than monthly,2019,15.1,,,,,,,
Victoria,Ex-drinker,2007,6.9,,,,,,,
Victoria,Ex-drinker,2010,7.8,,,,,,,
Victoria,Ex-drinker,2013,6.5,,,,,,,
Victoria,Ex-drinker,2016,7.0,,,,,,,
Victoria,Ex-drinker,2019,8.8,,,,,,,
Victoria,Never a full glass,2007,10.4,,,,,,,
Victoria,Never a full glass,2010,13.6,,,,,,,
Victoria,Never a full glass,2013,16.2,,,,,,,
Victoria,Never a full glass,2016,15.7,,,,,,,
Victoria,Never a full glass,2019,14.7,,,,,,,
Queensland,Daily,2007,8.5,,,,,,,
Queensland,Daily,2010,8.5,,,,,,,
Queensland,Daily,2013,7.6,,,,,,,
Queensland,Daily,2016,6.5,,,,,,,
Queensland,Daily,2019,6.5,,,,,,,
Queensland,Weekly,2007,42.4,,,,,,,
Queensland,Weekly,2010,40.7,,,,,,,
Queensland,Weekly,2013,37.9,,,,,,,
Queensland,Weekly,2016,35.9,,,,,,,
Queensland,Weekly,2019,35.1,,,,,,,
Queensland,Monthly,2007,19.0,,,,,,,
Queensland,Monthly,2010,20.8,,,,,,,
Queensland,Monthly,2013,19.8,,,,,,,
Queensland,Monthly,2016,21.5,,,,,,,
