"Table 1: Tobacco smoking status, people aged 14 and over, by sex and state/territory, 2001 to 2019 (col per cent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NSW,,,,,,,Vic,,,,,,,,,Qld,,,,,,,WA,,,,,,,SA,,,,,,,Tas,,,,,,,ACT,,,,,,,NT,,,,,,,Australia,,,,
Smoking status,2001,2004,2007,2010,2013,2016,2019,2001,2004,2007,2010,2013,2016,2019,2001,2004,2007,2010,2013,2016,2019,2001,2004,2007,2010,2013,2016,2019,2001,2004,2007,2010,2013,2016,2019,2001,2004,2007,2010,2013,2016,2019,2001,2004,2007,2010,2013,2016,2019,2001,2004,2007,2010,2013,2016,2019(a),2001,2004,2007,2010,2013,2016,2019
Daily,18.0,16.5,16.3,14.2,11.7,11.5,9.5#,19.2,17.5,16.5,14.9,12.2,11.7,10.2,21.0,19.8,17.2,16.7,15.0,14.5,13.5,20.0,15.6,14.8,15.6,12.4,11.5,11.9,20.1,16.5,16.5,15.0,12.8,10.8,11.9,20.6,21.5,22.6,15.9,16.1,16.0,12.8,18.4,16.2,14.7,11.0,9.7,9.5,8.2,27.9,27.4,25.3,22.2,21.3,17.2,14.7,19.4,17.5,16.6,15.1,12.8,12.2,11.0#
Occasional(b),3.6,3.3,2.6,2.6,3.0,2.5,2.8,4.6,3.6,3.2,3.4,3.6,2.9,3.5,3.2,2.9,2.7,2.9,2.4,2.6,2.9,4.4,3.0,2.6,3.1,3.4,3.2,3.0,3.4,2.6,3.2,2.4,2.6,2.4,2.2,3.7,2.6,*2.2,2.6,2.3,*2.8,*1.3,4.2,4.6,2.5,2.8,2.5,*2.1,*1.8,3.4,3.6,*2.4,3.6,2.9,*3.7,3.5,3.8,3.2,2.8,2.9,3.0,2.7,3.0
Ex-smoker(c),25.7,24.8,24.7,23.2,23.0,21.8,22.3,25.6,25.5,24.4,22.5,22.6,22.2,21.6,26.5,28.0,25.7,25.8,25.0,24.7,24.7,26.5,29.0,28.3,24.3,27.5,22.4,22.7,28.2,28.8,24.1,25.8,24.9,23.8,24.7,28.6,28.2,26.5,28.7,28.1,25.2,25.9,27.7,25.6,24.8,24.9,22.5,22.8,20.8,26.4,25.8,22.4,24.1,25.7,23.9,22.3,26.2,26.4,25.1,24.0,24.0,22.8,22.8
Never smoked(d),52.8,55.4,56.3,60.0,62.3,64.2,65.3,50.7,53.4,55.9,59.2,61.6,63.2,64.7,49.2,49.3,54.5,54.6,57.6,58.1,58.9,49.1,52.4,54.3,57.0,56.7,62.9,62.4,48.4,52.0,56.2,56.8,59.7,62.9,61.1,47.1,47.6,48.6,52.9,53.5,56.0,60.0,49.8,53.6,57.9,61.2,65.3,65.5,69.2,42.4,43.2,49.8,50.0,50.1,55.2,59.5,50.6,52.9,55.4,57.9,60.1,62.3,63.1
* Estimate has a relative standard error of 25% to 50% and should be used with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Estimate has a high level of sampling error (relative standard error of 51% to 90%), meaning that it is unsuitable for most uses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Statistically significant change between 2016 and 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) State results do not include data from the 8 Indigenous remote communities interviewed in the NT in 2019. These data are included in national estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes people who reported smoking weekly or less than weekly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Smoked at least 100 cigarettes (manufactured and/or roll-your-own) or the equivalent amount of tobacco in their life, and reported no longer smoking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) Never smoked 100 cigarettes (manufactured and/or roll-your-own) or the equivalent amount of tobacco.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Smoking status in 2010 has been revised. Trend data may not match previously published results.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:ÊNDSHS 2019 Table S.6; AIHW analysis of the National Drug Strategy Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
