State,Status,Year,Percentage,Latitude,Longitude
New South Wales,Daily,2001,18.2,-31.8402,145.612793
New South Wales,Daily,2004,16.5,-31.840233,145.612793
New South Wales,Daily,2007,16.3,-31.840233,145.612793
New South Wales,Daily,2010,14.2,-31.840233,145.612793
New South Wales,Daily,2013,11.7,-31.840233,145.612793
New South Wales,Daily,2016,11.5,-31.840233,145.612793
New South Wales,Daily,2019,9.5,-31.840233,145.612793
New South Wales,Occasional,2001,3.6,-31.840233,145.612793
New South Wales,Occasional,2004,3.3,-31.840233,145.612793
New South Wales,Occasional,2007,2.6,-31.840233,145.612793
New South Wales,Occasional,2010,2.6,-31.840233,145.612793
New South Wales,Occasional,2013,3,-31.840233,145.612793
New South Wales,Occasional,2016,2.5,-31.840233,145.612793
New South Wales,Occasional,2019,2.8,-31.840233,145.612793
New South Wales,Ex-smoker,2001,25.7,-31.840233,145.612793
New South Wales,Ex-smoker,2004,24.8,-31.840233,145.612793
New South Wales,Ex-smoker,2007,24.7,-31.840233,145.612793
New South Wales,Ex-smoker,2010,23.2,-31.840233,145.612793
New South Wales,Ex-smoker,2013,23,-31.840233,145.612793
New South Wales,Ex-smoker,2016,21.8,-31.840233,145.612793
New South Wales,Ex-smoker,2019,22.3,-31.840233,145.612793
New South Wales,Never smoked,2001,52.8,-31.840233,145.612793
New South Wales,Never smoked,2004,55.4,-31.840233,145.612793
New South Wales,Never smoked,2007,56.3,-31.840233,145.612793
New South Wales,Never smoked,2010,60,-31.840233,145.612793
New South Wales,Never smoked,2013,62.3,-31.840233,145.612793
New South Wales,Never smoked,2016,64.2,-31.840233,145.612793
New South Wales,Never smoked,2019,65.3,-31.840233,145.612793
Victoria,Daily,2001,19.2,-37.0201,144.9646
Victoria,Daily,2004,17.5,-37.0201,144.9646
Victoria,Daily,2007,16.5,-37.0201,144.9646
Victoria,Daily,2010,14.9,-37.0201,144.9646
Victoria,Daily,2013,12.2,-37.0201,144.9646
Victoria,Daily,2016,11.7,-37.0201,144.9646
Victoria,Daily,2019,10.2,-37.0201,144.9646
Victoria,Occasional,2001,4.6,-37.0201,144.9646
Victoria,Occasional,2004,3.6,-37.0201,144.9646
Victoria,Occasional,2007,3.2,-37.0201,144.9646
Victoria,Occasional,2010,3.4,-37.0201,144.9646
Victoria,Occasional,2013,3.6,-37.0201,144.9646
Victoria,Occasional,2016,2.9,-37.0201,144.9646
Victoria,Occasional,2019,3.5,-37.0201,144.9646
Victoria,Ex-smoker,2001,25.6,-37.0201,144.9646
Victoria,Ex-smoker,2004,25.5,-37.0201,144.9646
Victoria,Ex-smoker,2007,24.4,-37.0201,144.9646
Victoria,Ex-smoker,2010,22.5,-37.0201,144.9646
